Mittlere freie Weglängen für Z = 82
E [keV]	MFWL_t [cm]	MFWL_k [cm]	MFWL_i [cm]	MFWL_e [cm]
1.00000E+06	7.69350E-01	2.86445E+07	3.16695E+02	2.12453E+04
1.50000E+06	7.60070E-01	6.44502E+07	4.53538E+02	3.18871E+04
2.00000E+06	7.54860E-01	1.14563E+08	5.85833E+02	4.25315E+04
3.00000E+06	7.49090E-01	2.57725E+08	8.42905E+02	6.38435E+04
4.00000E+06	7.46550E-01	4.58253E+08	1.09159E+03	8.51041E+04
5.00000E+06	7.44660E-01	7.16230E+08	1.33527E+03	1.06444E+05
6.00000E+06	7.43410E-01	1.03108E+09	1.57415E+03	1.27724E+05
8.00000E+06	7.42150E-01	1.83301E+09	2.04424E+03	1.70340E+05
1.00000E+07	7.40910E-01	2.86445E+09	2.50264E+03	2.12863E+05
1.50000E+07	7.39660E-01	6.44502E+09	3.62234E+03	3.19449E+05
2.00000E+07	7.38420E-01	1.14563E+10	4.70982E+03	4.25932E+05
3.00000E+07	7.37810E-01	2.57725E+10	6.82942E+03	6.38898E+05
4.00000E+07	7.37190E-01	4.58253E+10	8.89865E+03	8.51863E+05
5.00000E+07	7.37190E-01	7.16230E+10	1.09281E+04	1.06483E+06
6.00000E+07	7.37190E-01	1.03108E+11	1.29259E+04	1.27780E+06
8.00000E+07	7.36570E-01	1.83301E+11	1.68517E+04	1.70439E+06
1.00000E+08	7.36570E-01	2.86445E+11	2.07210E+04	2.13017E+06
